Run;Blockchain;Time;Transaction;Contract Address;Gas Used;Cost;Execution Time
06758940-b71c-4501-89f7-bdc7c6419f13;http://127.0.0.1:7545;2022-11-10 08:34:28.483914;Contract Creation;0xf5575BCCCb94A4a5466b5cb6412B8ec381948C28;4913834;0.10;18.84
06758940-b71c-4501-89f7-bdc7c6419f13;http://127.0.0.1:7545;2022-11-10 08:34:29.419352;Contract Creation;0x2cC472208A952719076A7534D6e284B25707238B;2477373;0.05;0.796
06758940-b71c-4501-89f7-bdc7c6419f13;http://127.0.0.1:7545;2022-11-10 08:35:03.911417;Process input: SDS?lot_ID,quality,ghg,price;None;346685;0.01;22.394
06758940-b71c-4501-89f7-bdc7c6419f13;http://127.0.0.1:7545;2022-11-10 08:35:05.394927;Process check;None;29489;0.00058978;0.691
06758940-b71c-4501-89f7-bdc7c6419f13;http://127.0.0.1:7545;2022-11-10 08:35:07.158698;Process input: Buyer?lot_ID,quality,ghg,price;None;233687;0.00;1.555
06758940-b71c-4501-89f7-bdc7c6419f13;http://127.0.0.1:7545;2022-11-10 08:35:09.189906;Process check;None;75918;0.00151836;1.088
06758940-b71c-4501-89f7-bdc7c6419f13;http://127.0.0.1:7545;2022-11-10 08:35:31.111101;Process input: Seller?ack;None;318289;0.01;21.843
06758940-b71c-4501-89f7-bdc7c6419f13;http://127.0.0.1:7545;2022-11-10 08:35:36.459283;Process check;None;395898;0.00791796;4.298
06758940-b71c-4501-89f7-bdc7c6419f13;http://127.0.0.1:7545;2022-11-10 08:35:38.184149;Process check;None;23827;0.00047654;0.867
06758940-b71c-4501-89f7-bdc7c6419f13;http://127.0.0.1:7545;2022-11-10 08:35:59.778063;Process input: TMS?transport_cost_query;None;337263;0.01;21.442
06758940-b71c-4501-89f7-bdc7c6419f13;http://127.0.0.1:7545;2022-11-10 08:36:01.625626;Process check;None;37393;0.00074786;0.801
06758940-b71c-4501-89f7-bdc7c6419f13;http://127.0.0.1:7545;2022-11-10 08:36:05.029012;Process input: Buyer?energy_cost;None;224149;0.00;3.268
06758940-b71c-4501-89f7-bdc7c6419f13;http://127.0.0.1:7545;2022-11-10 08:36:06.663365;Process check;None;37393;0.00074786;0.627
06758940-b71c-4501-89f7-bdc7c6419f13;http://127.0.0.1:7545;2022-11-10 08:36:10.548023;Process input: CMS?coolstore_cost_query;None;352197;0.01;3.771
06758940-b71c-4501-89f7-bdc7c6419f13;http://127.0.0.1:7545;2022-11-10 08:36:12.279479;Process check;None;37393;0.00074786;0.667
06758940-b71c-4501-89f7-bdc7c6419f13;http://127.0.0.1:7545;2022-11-10 08:36:33.858045;Process input: Buyer?coolstore_cost;None;331592;0.01;21.438
06758940-b71c-4501-89f7-bdc7c6419f13;http://127.0.0.1:7545;2022-11-10 08:36:35.493001;Process check;None;37393;0.00074786;0.688
06758940-b71c-4501-89f7-bdc7c6419f13;http://127.0.0.1:7545;2022-11-10 08:36:41.662471;Process input: BDSS?lot_price,energy_cost,coolstore_cost;None;675921;0.01;6.009
06758940-b71c-4501-89f7-bdc7c6419f13;http://127.0.0.1:7545;2022-11-10 08:36:43.361170;Process check;None;37393;0.00074786;0.678
06758940-b71c-4501-89f7-bdc7c6419f13;http://127.0.0.1:7545;2022-11-10 08:36:45.087413;Process input: Seller?decline;None;200597;0.00;1.584
06758940-b71c-4501-89f7-bdc7c6419f13;http://127.0.0.1:7545;2022-11-10 08:36:47.712219;Process check;None;125671;0.00251342;1.031
06758940-b71c-4501-89f7-bdc7c6419f13;http://127.0.0.1:7545;2022-11-10 08:36:52.966818;Process input: SDS?acceptance;None;338308;0.01;4.966
06758940-b71c-4501-89f7-bdc7c6419f13;http://127.0.0.1:7545;2022-11-10 08:36:55.497310;Process check;None;95973;0.00191946;1.056
06758940-b71c-4501-89f7-bdc7c6419f13;http://127.0.0.1:7545;2022-11-10 08:37:17.434024;Process input: Seller?acceptance;None;348366;0.01;21.839
06758940-b71c-4501-89f7-bdc7c6419f13;http://127.0.0.1:7545;2022-11-10 08:37:20.011724;Process check;None;95973;0.00191946;1.13
ff054d48-b7d8-4308-bffd-8a1968877515;http://127.0.0.1:7545;2022-11-10 08:38:45.641056;Contract Creation;0x06E010637B8cBBF5ADFE573c54f5ea05D10f455a;4913834;0.10;17.794
ff054d48-b7d8-4308-bffd-8a1968877515;http://127.0.0.1:7545;2022-11-10 08:38:46.334074;Contract Creation;0x6Ab2De0E51e3eeEcac86200c964c1C28f2674bae;2477373;0.05;0.545
ff054d48-b7d8-4308-bffd-8a1968877515;http://127.0.0.1:7545;2022-11-10 08:39:17.580524;Process input: SDS?lot_ID,quality,ghg,price;None;346685;0.01;20.447
ff054d48-b7d8-4308-bffd-8a1968877515;http://127.0.0.1:7545;2022-11-10 08:39:18.794026;Process check;None;29489;0.00058978;0.543
ff054d48-b7d8-4308-bffd-8a1968877515;http://127.0.0.1:7545;2022-11-10 08:39:20.339988;Process input: Buyer?lot_ID,quality,ghg,price;None;233687;0.00;1.439
ff054d48-b7d8-4308-bffd-8a1968877515;http://127.0.0.1:7545;2022-11-10 08:39:22.146454;Process check;None;75918;0.00151836;1.031
ff054d48-b7d8-4308-bffd-8a1968877515;http://127.0.0.1:7545;2022-11-10 08:39:41.845188;Process input: Seller?ack;None;318289;0.01;19.573
ff054d48-b7d8-4308-bffd-8a1968877515;http://127.0.0.1:7545;2022-11-10 08:39:46.719136;Process check;None;395898;0.00791796;3.951
ff054d48-b7d8-4308-bffd-8a1968877515;http://127.0.0.1:7545;2022-11-10 08:39:48.358265;Process check;None;23827;0.00047654;0.782
ff054d48-b7d8-4308-bffd-8a1968877515;http://127.0.0.1:7545;2022-11-10 08:40:06.588877;Process input: TMS?transport_cost_query;None;337263;0.01;18.156
ff054d48-b7d8-4308-bffd-8a1968877515;http://127.0.0.1:7545;2022-11-10 08:40:08.101582;Process check;None;37393;0.00074786;0.607
ff054d48-b7d8-4308-bffd-8a1968877515;http://127.0.0.1:7545;2022-11-10 08:40:11.364731;Process input: Buyer?energy_cost;None;224149;0.00;3.143
ff054d48-b7d8-4308-bffd-8a1968877515;http://127.0.0.1:7545;2022-11-10 08:40:12.752623;Process check;None;37393;0.00074786;0.595
ff054d48-b7d8-4308-bffd-8a1968877515;http://127.0.0.1:7545;2022-11-10 08:40:16.524446;Process input: CMS?coolstore_cost_query;None;352197;0.01;3.66
ff054d48-b7d8-4308-bffd-8a1968877515;http://127.0.0.1:7545;2022-11-10 08:40:18.026315;Process check;None;37393;0.00074786;0.611
ff054d48-b7d8-4308-bffd-8a1968877515;http://127.0.0.1:7545;2022-11-10 08:40:37.757506;Process input: Buyer?coolstore_cost;None;331592;0.01;19.555
ff054d48-b7d8-4308-bffd-8a1968877515;http://127.0.0.1:7545;2022-11-10 08:40:39.180472;Process check;None;37393;0.00074786;0.49
ff054d48-b7d8-4308-bffd-8a1968877515;http://127.0.0.1:7545;2022-11-10 08:40:44.743918;Process input: BDSS?lot_price,energy_cost,coolstore_cost;None;675921;0.01;5.415
ff054d48-b7d8-4308-bffd-8a1968877515;http://127.0.0.1:7545;2022-11-10 08:40:46.104070;Process check;None;37393;0.00074786;0.653
ff054d48-b7d8-4308-bffd-8a1968877515;http://127.0.0.1:7545;2022-11-10 08:40:47.975685;Process input: Seller?decline;None;200597;0.00;1.766
ff054d48-b7d8-4308-bffd-8a1968877515;http://127.0.0.1:7545;2022-11-10 08:40:50.462252;Process check;None;125671;0.00251342;1.159
ff054d48-b7d8-4308-bffd-8a1968877515;http://127.0.0.1:7545;2022-11-10 08:40:55.219449;Process input: SDS?acceptance;None;344544;0.01;4.653
ff054d48-b7d8-4308-bffd-8a1968877515;http://127.0.0.1:7545;2022-11-10 08:40:57.453614;Process check;None;95973;0.00191946;0.754
ff054d48-b7d8-4308-bffd-8a1968877515;http://127.0.0.1:7545;2022-11-10 08:41:17.410875;Process input: Seller?acceptance;None;348366;0.01;19.866
ff054d48-b7d8-4308-bffd-8a1968877515;http://127.0.0.1:7545;2022-11-10 08:41:19.559718;Process check;None;95973;0.00191946;0.842
